TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:07.538434	722	6		Rank1				
2021-02-08 19:28:07.669549	730	6		Rank1				
2021-02-08 19:28:07.669723	734	6	15					
2021-02-08 19:28:07.673039	738	6		Rank1				
2021-02-08 19:28:08.049607	742	6	15					
2021-02-08 19:28:08.052530	746	6		Rank1				
2021-02-08 19:28:08.175475	762	6		Rank1				
2021-02-08 19:28:08.175555	786	6		Rank1				
2021-02-08 19:28:08.178628					788	6	15	Rank1
2021-02-08 19:28:08.178756	790	6	15					
2021-02-08 19:28:08.239490	794	6		Rank1				
2021-02-08 19:28:08.239510					794	8	15	Rank1
2021-02-08 19:28:08.239653					796	1	15	Rank1
2021-02-08 19:28:08.241068	798	6	15					
2021-02-08 19:28:08.378621	802	6		Rank1				
2021-02-08 19:28:08.382599					803	6	15	Rank1
2021-02-08 19:28:08.382687	806	6	15					
2021-02-08 19:28:08.774031	810	6		Rank1				
2021-02-08 19:28:08.774287	814	6	15					
2021-02-08 19:28:08.779032	818	6		Rank1				
2021-02-08 19:28:09.093408	822	6	15					
2021-02-08 19:28:09.095298	826	6		Rank1				
2021-02-08 19:28:09.175706	858	6		Rank1				
